name,slug,value,date_of_information,ranking,region
"Yemen,""yemen"",""39.9"",""2013"",""1"",""Middle East"""
"Timor-Leste,""timor-leste"",""37.5"",""2013"",""2"",""East and Southeast Asia"""
"India,""india"",""33.4"",""2016/18"",""3"",""South Asia"""
"Sudan,""sudan"",""33.0"",""2014"",""4"",""Africa"""
"Niger,""niger"",""31.3"",""2019"",""5"",""Africa"""
"Djibouti,""djibouti"",""29.9"",""2012"",""6"",""Africa"""
"Chad,""chad"",""29.2"",""2019"",""7"",""Africa"""
"Papua New Guinea,""papua-new-guinea"",""27.8"",""2009/11"",""8"",""East and Southeast Asia"""
"Burundi,""burundi"",""27.0"",""2018/19"",""9"",""Africa"""
"Madagascar,""madagascar"",""26.4"",""2018"",""10"",""Africa"""
"Nepal,""nepal"",""24.4"",""2019"",""11"",""South Asia"""
"Cambodia,""cambodia"",""24.1"",""2014"",""12"",""East and Southeast Asia"""
"Congo, Democratic Republic of the,""congo-democratic-republic-of-the"",""23.1"",""2017/18"",""13"",""Africa"""
"Pakistan,""pakistan"",""23.1"",""2017/18"",""14"",""South Asia"""
"Somalia,""somalia"",""23.0"",""2009"",""15"",""Africa"""
"Bangladesh,""bangladesh"",""22.6"",""2019"",""16"",""South Asia"""
"Ethiopia,""ethiopia"",""21.1"",""2019"",""17"",""Africa"""
"Laos,""laos"",""21.1"",""2017"",""18"",""East and Southeast Asia"""
"Central African Republic,""central-african-republic"",""20.5"",""2019"",""19"",""Africa"""
"Sri Lanka,""sri-lanka"",""20.5"",""2016"",""20"",""South Asia"""
"Mauritania,""mauritania"",""19.2"",""2018"",""21"",""Africa"""
"Afghanistan,""afghanistan"",""19.1"",""2018"",""22"",""South Asia"""
"Burma,""burma"",""19.1"",""2017/18"",""23"",""East and Southeast Asia"""
"Philippines,""philippines"",""19.1"",""2018"",""24"",""East and Southeast Asia"""
"Angola,""angola"",""19.0"",""2015/16"",""25"",""Africa"""
"Guinea-Bissau,""guinea-bissau"",""18.8"",""2019"",""26"",""Africa"""
"Nigeria,""nigeria"",""18.4"",""2019/20"",""27"",""Africa"""
"Mali,""mali"",""18.1"",""2019"",""28"",""Africa"""
"Indonesia,""indonesia"",""17.7"",""2018"",""29"",""East and Southeast Asia"""
"Comoros,""comoros"",""16.9"",""2012"",""30"",""Africa"""
"Benin,""benin"",""16.8"",""2017/18"",""31"",""Africa"""
"Burkina Faso,""burkina-faso"",""16.4"",""2019"",""32"",""Africa"""
"Guinea,""guinea"",""16.3"",""2018"",""33"",""Africa"""
"Solomon Islands,""solomon-islands"",""16.2"",""2015"",""34"",""Australia and Oceania"""
"Mozambique,""mozambique"",""15.6"",""2014/15"",""35"",""Africa"""
"Togo,""togo"",""15.2"",""2017"",""36"",""Africa"""
"Maldives,""maldives"",""14.8"",""2016/17"",""37"",""South Asia"""
"Tanzania,""tanzania"",""14.6"",""2018"",""38"",""Africa"""
"Senegal,""senegal"",""14.4"",""2019"",""39"",""Africa"""
"Malaysia,""malaysia"",""14.1"",""2019"",""40"",""East and Southeast Asia"""
"Sierra Leone,""sierra-leone"",""13.5"",""2019"",""41"",""Africa"""
"Vietnam,""vietnam"",""13.4"",""2017"",""42"",""East and Southeast Asia"""
"Namibia,""namibia"",""13.2"",""2013"",""43"",""Africa"""
"Cote d'Ivoire,""cote-divoire"",""12.8"",""2016"",""44"",""Africa"""
"Ghana,""ghana"",""12.6"",""2017/18"",""45"",""Africa"""
"Guatemala,""guatemala"",""12.4"",""2014/15"",""46"",""Central America and the Caribbean"""
"Congo, Republic of the,""congo-republic-of-the"",""12.3"",""2014/15"",""47"",""Africa"""
"Marshall Islands,""marshall-islands"",""11.9"",""2017"",""48"",""Australia and Oceania"""
"Zambia,""zambia"",""11.8"",""2018/19"",""49"",""Africa"""
"Libya,""libya"",""11.7"",""2014"",""50"",""Africa"""
"Vanuatu,""vanuatu"",""11.7"",""2013"",""51"",""Australia and Oceania"""
"Gambia, The,""gambia-the"",""11.6"",""2019/20"",""52"",""Africa"""
"Kenya,""kenya"",""11.2"",""2014"",""53"",""Africa"""
"Oman,""oman"",""11.2"",""2016/17"",""54"",""Middle East"""
"Cameroon,""cameroon"",""11.0"",""2018/19"",""55"",""Africa"""
"Liberia,""liberia"",""10.9"",""2019/20"",""56"",""Africa"""
"Lesotho,""lesotho"",""10.5"",""2018"",""57"",""Africa"""
"Uganda,""uganda"",""10.4"",""2016"",""58"",""Africa"""
"Zimbabwe,""zimbabwe"",""9.7"",""2019"",""59"",""Africa"""
"Haiti,""haiti"",""9.5"",""2016/17"",""60"",""Central America and the Caribbean"""
"Korea, North,""korea-north"",""9.3"",""2017"",""61"",""East and Southeast Asia"""
"Malawi,""malawi"",""9.0"",""2019"",""62"",""Africa"""
"Guyana,""guyana"",""8.2"",""2014"",""63"",""South America"""
"Rwanda,""rwanda"",""7.7"",""2019/20"",""64"",""Africa"""
"Thailand,""thailand"",""7.7"",""2019"",""65"",""East and Southeast Asia"""
"Tajikistan,""tajikistan"",""7.6"",""2017"",""66"",""Central Asia"""
"Honduras,""honduras"",""7.1"",""2011/12"",""67"",""Central America and the Caribbean"""
"Egypt,""egypt"",""7.0"",""2014"",""68"",""Africa"""
"Kiribati,""kiribati"",""6.9"",""2018/19"",""69"",""Australia and Oceania"""
"Suriname,""suriname"",""6.7"",""2018"",""70"",""South America"""
"Gabon,""gabon"",""6.4"",""2012"",""71"",""Africa"""
"Eswatini,""eswatini"",""5.8"",""2014"",""72"",""Africa"""
"Equatorial Guinea,""equatorial-guinea"",""5.6"",""2011"",""73"",""Africa"""
"South Africa,""south-africa"",""5.5"",""2017"",""74"",""Africa"""
"Sao Tome and Principe,""sao-tome-and-principe"",""5.4"",""2019"",""75"",""Africa"""
"Ecuador,""ecuador"",""5.2"",""2018/19"",""76"",""South America"""
"El Salvador,""el-salvador"",""5.0"",""2014"",""77"",""Central America and the Caribbean"""
"Azerbaijan,""azerbaijan"",""4.9"",""2013"",""78"",""Middle East"""
"Trinidad and Tobago,""trinidad-and-tobago"",""4.9"",""2011"",""79"",""Central America and the Caribbean"""
"Mexico,""mexico"",""4.7"",""2018/19"",""80"",""North America"""
"Belize,""belize"",""4.6"",""2015/16"",""81"",""Central America and the Caribbean"""
"Nicaragua,""nicaragua"",""4.6"",""2011/12"",""82"",""Central America and the Caribbean"""
"Jamaica,""jamaica"",""4.4"",""2016"",""83"",""Central America and the Caribbean"""
"Iran,""iran"",""4.1"",""2010/11"",""84"",""Middle East"""
"Dominican Republic,""dominican-republic"",""4.0"",""2013"",""85"",""Central America and the Caribbean"""
"Iraq,""iraq"",""3.9"",""2018"",""86"",""Middle East"""
"Colombia,""colombia"",""3.7"",""2015/16"",""87"",""South America"""
"Montenegro,""montenegro"",""3.7"",""2018/19"",""88"",""Europe"""
"Seychelles,""seychelles"",""3.6"",""2012"",""89"",""Africa"""
"Barbados,""barbados"",""3.5"",""2012"",""90"",""Central America and the Caribbean"""
"Bolivia,""bolivia"",""3.4"",""2016"",""91"",""South America"""
"Samoa,""samoa"",""3.4"",""2019/20"",""92"",""Australia and Oceania"""
"Turkmenistan,""turkmenistan"",""3.1"",""2019"",""93"",""Central Asia"""
"Jordan,""jordan"",""3.0"",""2012"",""94"",""Middle East"""
"Kuwait,""kuwait"",""3.0"",""2014"",""95"",""Middle East"""
"Panama,""panama"",""3.0"",""2019"",""96"",""Central America and the Caribbean"""
"Costa Rica,""costa-rica"",""2.9"",""2018"",""97"",""Central America and the Caribbean"""
"Uzbekistan,""uzbekistan"",""2.9"",""2017"",""98"",""Central Asia"""
"Saint Lucia,""saint-lucia"",""2.8"",""2012"",""99"",""Central America and the Caribbean"""
"Algeria,""algeria"",""2.7"",""2018/19"",""100"",""Africa"""
"Armenia,""armenia"",""2.6"",""2015/16"",""101"",""Middle East"""
"Morocco,""morocco"",""2.6"",""2017/18"",""102"",""Africa"""
"China,""china"",""2.4"",""2013"",""103"",""East and Southeast Asia"""
"Cuba,""cuba"",""2.4"",""2019"",""104"",""Central America and the Caribbean"""
"Peru,""peru"",""2.4"",""2019"",""105"",""South America"""
"Moldova,""moldova"",""2.2"",""2012"",""106"",""Europe"""
"Gaza Strip,""gaza-strip"",""2.1"",""2019/20"",""107"",""Middle East"""
"Georgia,""georgia"",""2.1"",""2018"",""108"",""Middle East"""
"West Bank,""west-bank"",""2.1"",""2019/20"",""109"",""Middle East"""
"Kazakhstan,""kazakhstan"",""2.0"",""2015"",""110"",""Central Asia"""
"Bulgaria,""bulgaria"",""1.9"",""2014"",""111"",""Europe"""
"Kyrgyzstan,""kyrgyzstan"",""1.8"",""2018"",""112"",""Central Asia"""
"Mongolia,""mongolia"",""1.8"",""2018"",""113"",""East and Southeast Asia"""
"Uruguay,""uruguay"",""1.8"",""2018"",""114"",""South America"""
"Argentina,""argentina"",""1.7"",""2018/19"",""115"",""South America"""
"Bosnia and Herzegovina,""bosnia-and-herzegovina"",""1.6"",""2012"",""116"",""Europe"""
"Tunisia,""tunisia"",""1.6"",""2018"",""117"",""Africa"""
"Albania,""albania"",""1.5"",""2017/18"",""118"",""Europe"""
"Paraguay,""paraguay"",""1.3"",""2016"",""120"",""South America"""
"Belgium,""belgium"",""1.0"",""2014/15"",""121"",""Europe"""
"Serbia,""serbia"",""1.0"",""2019"",""122"",""Europe"""
"North Macedonia,""north-macedonia"",""0.9"",""2018/19"",""123"",""Europe"""
"Tonga,""tonga"",""0.8"",""2019"",""124"",""Australia and Oceania"""
