pais,TasaFertil1mMuje,EmployPerPop,Tuberculosis100m,MaterMort100m,UndernourishPerPop
MAR,"32,2602","22,42900085",101,121,"3,5"
ABW,"24,261",,14,,
AFG,"73,1264","16,20199966",189,396,23
AGO,"157,3554","69,65699768",370,477,14
ALB,"20,6922","39,50500107",16,29,"4,9"
AND,,,"5,9",,
ARB,"48,11455247","16,86397205",,156,"11,03334591"
ARE,"28,0758","39,41999817","0,79",6,"3,8"
ARG,"63,2644","43,54600143",25,52,"3,6"
ARM,"24,785","41,31999969",47,25,"4,4"
ASM,,,"8,3",,
ATG,"45,813",,5,,"26,7"
AUS,"13,6616","55,47200012","6,1",6,"2,5"
AUT,"7,522","51,64300156","7,5",4,"2,5"
AZE,"51,7","58,84899902",71,25,"2,5"
BDI,"28,0212","78,96199799",122,712,
BEL,"5,3384","44,29399872","9,5",7,"2,5"
BEN,"90,2036","66,46800232",60,405,"10,3"
BFA,"108,7606","52,75600052",52,371,"20,2"
BGD,"85,3076","30,06399918",221,176,"15,1"
BGR,"41,0864","44,54100037",28,11,"3,4"
BHR,"13,618","42,08100128",14,15,
BHS,"29,1548","60,99200058",18,80,10
BIH,"10,8342","24,72699928",39,11,"2,5"
BLR,"18,7992","58,33800125",55,4,"2,5"
BLZ,"65,9792","44,3409996",25,28,"6,2"
BMU,,,0,,"12,8"
BOL,"69,9186","52,43799973",117,206,"20,2"
BRA,"63,7578","48,00500107",42,44,"2,5"
BRB,"41,1162","55,32500076",0,27,"4,4"
BRN,"11,6092","54,68600082",58,23,"2,5"
BTN,"23,8214","55,81900024",153,148,
BWA,"33,4544","51,54299927",356,129,26
CAF,"107,7732","58,93600082",391,882,"58,6"
CAN,"10,1748","56,94900131","5,2",7,"2,5"
CEB,"19,7825769","44,95598756",,11,"2,594079838"
CHE,"3,1946","59,33000183","7,3",5,"2,5"
CHI,"7,3012","45,76200104",,,
CHL,"47,526","46,52999878",17,22,"3,7"
CHN,"6,5968","59,93600082",66,27,"9,6"
CIV,"134,061","46,38499832",159,645,"15,4"
CMR,"111,8636","67,35500336",212,596,"7,9"
COD,"126,2696","68,26999664",324,693,
COG,"116,3622","60,29700089",379,442,"28,2"
COL,"51,537","52,52099991",31,64,"7,1"
COM,"68,989","33,9090004",35,335,
CPV,"75,7158","43,1590004",139,42,"13,7"
CRI,"55,701","43,04700089",11,25,"5,6"
CSS,"54,05760745","46,27989597",,99,"8,165319285"
CUB,"46,4086","40,8429985",7,39,"2,5"
CUW,"32,8964",,"5,8",,
CYM,,,13,,
CYP,"4,8136","49,32899857","6,2",7,"4,7"
CZE,"10,4158","48,29600143","5,5",4,"2,5"
DEU,"7,1462","52,30500031",8,6,"2,5"
DJI,"19,9894","45,87200165",362,229,"12,8"
DMA,,,11,,"5,8"
DNK,"4,2482","53,99000168","6,5",6,"2,5"
DOM,"97,2322","49,10300064",60,92,"13,5"
DZA,"10,7052","12,68999958",74,140,"4,6"
EAP,"22,62485481","58,40998473",155,63,"10,20167498"
EAR,"42,10962881","33,73795897",,159,"13,15924184"
EAS,"21,05460446","57,41829645",144,59,"9,420729444"
ECA,"26,56033179","46,10149592",61,25,"3,665566914"
ECS,"17,81276847","46,40329851",33,16,"3,033106888"
ECU,"75,2802","49,84000015",52,64,"12,1"
EGY,"51,8828","16,42499924",15,33,"4,5"
EMU,"7,882998376","44,74222155",,6,"2,517107143"
ERI,"55,3706","70,05200195",70,501,
ESP,"8,758","39,99000168",10,5,"2,5"
EST,"14,0274","52,55599976",18,9,"2,5"
ETH,"67,2518","71,49299622",192,353,"28,8"
EUU,"10,8830093","46,1115678",,8,"2,524069485"
FCS,"88,80094744","42,9101277",,475,"24,49896746"
FIN,"7,0306","50,61100006","5,6",3,"2,5"
FJI,"43,5248","37,49000168",51,30,"4,6"
FRA,"8,9614","45,72100067","8,1",8,"2,5"
FRO,,,,,
FSM,"15,7768",,124,100,
GAB,"101,667","30,18600082",465,291,7
GBR,"14,5964","53,65599823",10,9,"2,5"
