Año 2021;;;;;;;;;
Rango;? rango;País;tipo de régimen;Puntuación general;Puntuación ?;Proceso electoral;Funcionamiento del;Participación política;libertades civiles
;;;;;;y pluralismo;gobierno;;
Democracias plenas;;;;;;;;;
1;; Noruega;Democracia plena;9.75;0.06;10;9.64;10;9.12
2;2; Nueva Zelanda;Democracia plena;9.37;0.12;10;8.93;9.44;9.71
3;3; Finlandia;Democracia plena;9.27;0.07;10;9.29;8.89;9.41
4;1; Suecia;Democracia plena;9.26;;9.58;9.29;8.33;9.12
5;3; Islandia;Democracia plena;9.18;0.19;10;8.21;8.89;9.41
6;1; Dinamarca;Democracia plena;9.09;0.06;10;8.93;8.33;8.82
7;1; Irlanda;Democracia plena;9;0.05;10;7.86;8.33;9.41
8;3; Taiwán;Democracia plena;8.99;0.05;10;9.64;7.78;9.41
9;; Australia;Democracia plena;8.9;0.06;10;8.57;7.78;9.41
9;2;  Suiza;Democracia plena;8.9;0.07;9.58;8.93;7.78;8.82
11;1; Países Bajos;Democracia plena;8.88;0.08;9.58;8.93;8.33;8.82
12;7; Canadá;Democracia plena;8.87;0.37;10;8.21;8.89;9.12
13;2; Uruguay;Democracia plena;8.85;0.24;10;8.57;7.22;9.71
14;1; luxemburgo;Democracia plena;8.68;;10;8.57;6.67;9.41
15;1; Alemania;Democracia plena;8.67;;9.58;8.21;8.33;9.12
dieciséis;7; Corea del Sur;Democracia plena;8.16;0.15;9.58;8.57;7.22;7.94
17;3; Japón;Democracia plena;8.15;0.02;9.17;8.57;6.67;8.24
18;2; Reino Unido;Democracia plena;8.1;0.44;9.58;7.5;8.33;8.82
19;2; Mauricio;Democracia plena;8.08;0.06;9.17;7.86;6.11;8.53
20;2; Austria;Democracia plena;8.07;0.09;9.58;6.79;8.89;8.24
20;2; Costa Rica;Democracia plena;8.07;0.09;9.58;6.43;7.78;9.71
Democracias defectuosas;;;;;;;;;
22;2; Francia;Democracia defectuosa;7.99;;9.58;7.5;7.78;8.24
23;4; Israel;Democracia defectuosa;7.97;0.13;9.58;7.5;10;5.88
24;2; España;Democracia defectuosa;7.94;0.18;9.58;7.14;7.22;8.24
25;8; Chile;Democracia defectuosa;7.92;0.36;9.58;7.86;5.56;9.12
26;1; Estados Unidos;Democracia defectuosa;7.85;0.07;9.17;6.43;8.89;8.53
27;; Estonia;Democracia defectuosa;7.84;;9.58;7.86;6.67;8.24
28;2; Portugal;Democracia defectuosa;7.82;0.08;9.58;7.14;6.67;8.82
29;1; República Checa;Democracia defectuosa;7.74;0.07;9.58;6.43;6.67;8.53
30;3; Botsuana;Democracia defectuosa;7.73;0.11;9.17;6.79;6.67;8.53
31;2; Italia;Democracia defectuosa;7.68;0.06;9.58;6.43;7.22;7.65
32;; Cabo Verde;Democracia defectuosa;7.65;0.13;9.17;7;6.67;8.53
33;3; Malta;Democracia defectuosa;7.57;0.11;9.17;6.79;5.56;8.24
34;2; Grecia;Democracia defectuosa;7.56;0.17;9.58;6.07;6.11;8.53
35;; Eslovenia;Democracia defectuosa;7.54;0.04;9.58;6.43;7.22;8.24
36;; Bélgica;Democracia defectuosa;7.51;;9.58;7.86;5;8.24
