;Human Development Index (HDI) ;;Life expectancy at birth;Expected years of schooling;Mean years of schooling;Gross national income (GNI) per capita;GNI per capita rank minus HDI rank;HDI rank
Country;Value;;(years);(years);(years);(2017 PPP $);;
;2021;;2021;2021;2021;2021;2021;2020
Switzerland;0.962;;84.0;16.5;13.9;66,933;5;3
Norway;0.961;;83.2;18.2;13.0;64,660;6;1
Iceland;0.959;;82.7;19.2;13.8;55,782;11;2
Hong Kong, China (SAR);0.952;;85.5;17.3;12.2;62,607;6;4
Australia;0.951;;84.5;21.1;12.7;49,238;18;5
Denmark;0.948;;81.4;18.7;13.0;60,365;6;5
Sweden;0.947;;83.0;19.4;12.6;54,489;9;9
Ireland;0.945;;82.0;18.9;11.6;76,169;-3;8
Germany;0.942;;80.6;17.0;14.1;54,534;6;7
Netherlands;0.941;;81.7;18.7;12.6;55,979;3;10
Finland;0.940;;82.0;19.1;12.9;49,452;11;12
Singapore;0.939;;82.8;16.5;11.9;90,919;-10;10
Belgium;0.937;;81.9;19.6;12.4;52,293;7;16
New Zealand;0.937;;82.5;20.3;12.9;44,057;16;13
Canada;0.936;;82.7;16.4;13.8;46,808;9;15
Liechtenstein;0.935;;83.3;15.2;12.5;146,830;-15;14
Luxembourg;0.930;;82.6;14.4;13.0;84,649;-13;17
United Kingdom;0.929;;80.7;17.3;13.4;45,225;9;17
Japan;0.925;;84.8;15.2;13.4;42,274;12;19
Korea (Republic of);0.925;;83.7;16.5;12.5;44,501;9;20
United States;0.921;;77.2;16.3;13.7;64,765;-14;21
Israel;0.919;;82.3;16.1;13.3;41,524;10;22
Malta;0.918;;83.8;16.8;12.2;38,884;12;26
Slovenia;0.918;;80.7;17.7;12.8;39,746;10;23
Austria;0.916;;81.6;16.0;12.3;53,619;-8;23
United Arab Emirates;0.911;;78.7;15.7;12.7;62,574;-15;25
Spain;0.905;;83.0;17.9;10.6;38,354;10;27
France;0.903;;82.5;15.8;11.6;45,937;-2;28
Cyprus;0.896;;81.2;15.6;12.4;38,188;9;29
Italy;0.895;;82.9;16.2;10.7;42,840;0;32
Estonia;0.890;;77.1;15.9;13.5;38,048;8;30
